No.,Name,Population,Latitude,Longitude
1,Chiyoda,"59,441",35.694003,139.753594
2,Chūō,"147,620",35.666667,139.766667
3,Minato,"248,071",35.658069,139.7516
4,Shinjuku,"339,211",35.701389,139.709722
5,Bunkyō,"223,389",35.716667,139.75
6,Taitō,"200,486",35.7125,139.78
7,Sumida,"260,358",35.7,139.816667
8,Kōtō,"502,579",35.666667,139.816667
9,Shinagawa,"392,492",35.6,139.733333
10,Meguro,"280,283",35.633333,139.683333
11,Ōta,"722,608",35.561256,139.71605
12,Setagaya,"910,868",35.646572,139.653247
13,Shibuya,"227,850",35.659444,139.700556
14,Nakano,"332,902",35.707397,139.663836
15,Suginami,"570,483",35.683333,139.616667
16,Toshima,"294,673",35.732458,139.715406
17,Kita,"345,063",35.75,139.733333
18,Arakawa,"213,648",35.733333,139.783333
19,Itabashi,"569,225",35.766667,139.683333
20,Nerima,"726,748",35.735622,139.651658
21,Adachi,"674,067",35.783333,139.8
22,Katsushika,"447,140",35.733333,139.85
23,Edogawa,"685,899",35.7,139.883333
